"विवरण 4.2: कार्यकलापों के वर्गीकरण के अनुसार सामान्य सरकार का व्यय* (प्रचलित भावों पर), 2018-19",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
"Statement 4.2: Expenditure of General Government classified by function*, 
COFOG (At current prices), 2018-19
",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,(₹ करोड़),,,,,,,,,,,,,,,,,,,,,,(₹ crore),,
क्र.सं.,मद,सामान्‍य सार्वजिनक सेवाएं ,रक्षा ,सार्वजनिक व्यवस्था और सुरक्षा ,आर्थिक कार्य ,"सामान्‍य प्रशासन, विनियमन और अनुसंधान ","कृषि, वानिकी और मत्‍स्‍यन ","खनन, विनिर्माण और निर्माण ","बिजली, गैस, भांप और अन्‍य स्रोत ",जलापूर्ति ,परिवहन और संचार ,अन्‍य आर्थिक सेवाएं ,पर्यावरण संरक्षण ,हाउसिंग और सामुदायिक सुविधाएं ,स्‍वास्‍थ्‍य ,"प्रशासन, विनियमन और अनुसंधान ",स्‍वास्‍थ्‍य सेवाएं ,"मनोरंजन, संस्‍कृति और धर्म ",शिक्षा ,"प्रशासन, विनियमन और अनुसंधान",शिक्षा संबंधी सेवाएं ,सामाजिक संरक्षण ,कुल ,item,S.No.
,,,,,,"general administration, regulation & research","agriculture,forestry & fishing ","mining, manufacturing &  construction","electricity,gas,steam and other sources of energy",water supply,transport and communication,other economic services,,,,"administration, regulation & research",health services,,,"administration,  regulation & research",educational services,,,,
1,2,3,4,5,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,7,8,9,9.1,9.2,10,11,11.1,11.2,12,13,2,1
1,पूंजीतर व्यय,457341.74,351976.4,273506.79,812438.76,30979.32,288256.55,129006.27,120966.88,26715.12,67105.52,149409.1,1385.08,200561.39,211798.54,33244.76,178553.79,23669.24,764837.52,42477.61,722359.91,290789.13,3388304.59,Current expenditure,1
1.1,उपभोग व्यय ,175229.77,350890.71,269468.7,96256.8,11017.95,47617.13,12790.46,446.27,16336.68,2493.46,5554.85,273.57,34820.13,136756.54,20780.25,115976.3,10506,434797.54,20865.13,413932.41,63696.26,1572696.02,consumption Expenditure ,1.1
1.1.1,कर्मचारियों का पारिश्रमिक,142237.892770118,288109.874424237,255782.868970494,85764.1954737975,10053.3975051617,37486.52212582,7399.95950508,4796.84328013,10624.80543562,8869.92169198,6532.74593001,134.96938913,27140.19085765,114139.89276108,13581.03679719,100558.85596389,5634.96887609,388501.36356637,16958.5187153,371542.84485106,28743.42668469,1336189.64377364,compensation of Employees,1.1.1
1.1.2,वस्तुओं और सेवाओं का निवल क्रय,32991.8807966219,62780.84,13685.83,10492.608786237,964.55,10130.61,5390.50008624,-4350.57,5711.8787,-6376.46,-977.9,138.6,7679.9389,22616.65107442,7199.21,15417.44107442,4871.03,46296.17873927,3906.61,42389.56873927,34952.83,236506.38829655,net purchase of commodities and services,1.1.2
1.2,आर्थिक सहायता,2290.28,0,13.96,477348.974019327,207.57,129129.75855155,79857.79288234,91130.35102443,425,51273.601561,125324.9,0,3065.07,851.63,0,851.63,3069.62,2055.47,382.59,1672.88,26246.78,514941.78401933,subsidy,1.2
1.3,पूंजीतर हस्‍तांतरण,279821.69,1085.69,4024.13,238832.99,19753.8,111509.66,36358.02,29390.26,9953.44,13338.46,18529.35,1111.51,162676.19,74190.37,12464.51,61725.86,10093.62,327984.51,21229.89,306754.62,200846.09,1300666.79,Current Transfer ,1.3
1.3.1,स्थानीय निकायों को पूंजीतर हस्‍तांतरण,63738.138,0,80.93,17364.421643711,991,4220.72,765.52164371,1483.03,3270.71,6330.47,302.97,260.85,90240.55,9660.79,963.71,8697.08,946.69,91372.69,1768.62,89604.07,28341.91,302006.96964371,current transfers to local bodies,1.3.1
1.3.2,अन्य पूंजीतर हस्‍तांतरण,216083.55071257,1085.69,3943.2,221468.57,18762.8,107288.94,35592.5,27907.23,6682.73,7007.99,18226.38,850.66,72435.64,64529.57921021,11500.8,53028.77921021,9146.93,236611.8163002,19461.27,217150.5463002,172504.18,998659.81622298,other current transfers,1.3.2
2,पूंजीगत व्यय ,75193.21,102889.97,21781.29,358189.61,65066.71,29199.24,24705.89,26673.55,33125.42,168633.49,10785.31,2357.95,164038.15,24769.65,3162.75,21606.9,6937.32,57464.72,3857.32,53607.4,29412.98,843034.85,Capital Expenditure,2
2.1,सकल पूंजी निर्माण ,44612.7,102858.09,19124.95,204129.61,3471.39,12705.36,13880.79,5000.31,28067.18,131076.11,9928.47,23.38,56253.36,16810.23,2325.17,14485.06,5227.35,40547.01,2489.65,38057.36,15140.26,504726.94,GCF ,2.1
2.1.1,सकल स्‍थायी पूंजी निर्माण,44507.2145,101154.92,19124.95,196657.5329493,3471.39,12695.1,13880.7948493,4940.31,27633.1181,127967.96,6068.86,23.38,56253.95,16802.23499689,2325.17,14477.06499689,5227.35,40479.05273487,2489.65,37989.40273487,15091.84,495322.42518106,GFCF,2.1.1
2.1.2,स्‍टॉक में अंतर,105.4853,1703.17,0,7472.08,0,10.26,0,60,434.06,3108.15,3859.61,0,-0.59,8,0,8,0,67.9542,0,67.9542,48.42,9404.5195,CIS,2.1.2
2.2,पूंजी हस्तांतरण,30580.51,31.88,2656.34,154060,61595.32,16493.88,10825.1,21673.24,5058.24,37557.38,856.84,2334.57,107784.79,7959.42,837.58,7121.84,1709.97,16917.71,1367.67,15550.04,14272.72,338307.91,Capital Transfer,2.2
2.2.1,स्थानीय निकायों को पूंजी हस्‍तांतरण,15440.35,0,0,45586.93,43471.31,276.06,115.14,0,1468.77,254.36,1.29,25.91,41801.05,65.79,0,65.79,3.82,182.83,14.39,168.44,5117.34,108224.02,capital transfers to local bodies,2.2.1
2.2.2,अन्य पूंजी हस्‍तांतरण,15140.16,31.88,2656.34,108473.07,18124.01,16217.82,10709.96,21673.24,3589.47,37303.02,855.55,2308.66,65983.74,7893.63,837.58,7056.05,1706.15,16734.88,1353.28,15381.6,9155.38,230083.89,other capital transfers,2.2.2
3.1,स्टॉक में निवल निवेश,15594.66,0,0,218208.71,107656.38,17021.21,10293.86,38215.39,100.87,41971.05,2949.95,0,3495.73,492.23,0,492.23,556.94,2298.17,0,2298.17,1801.75,242448.19,Net Investment in Stock,3.1
3.2,ऋण और अग्रिम,27451.64,1.15,41.99,47968.78,19.6,1049.56,8390.42,10987.66,4531.86,7304.2,15685.48,373.45,19955.84,784.76,0,784.76,14.8,759.69,0,759.69,1904.92,99257.02,Loans and Advances ,3.2
3.2.1,स्थानीय निकायों को ऋण व अग्रिम,0,0,0,2982.8,0,0,28.71,0,2954.09,0,0,373.4,1212.22,0,0,0,0,0,0,0,0,4568.42,loans & advances to local bodies,3.2.1
3.2.2,घरेलू क्षेत्र को ऋण और अग्रिम,27451.64,1.15,41.99,44985.98,19.6,1049.56,8361.71,10987.66,1577.77,7304.2,15685.48,0.05,18743.62,784.76,0,784.76,14.8,759.69,0,759.69,1904.92,94688.6,loans & advances to domestic sector,3.2.2
4,कुल व्यय,575581.25,454867.52,295330.07,1436805.86,203722.01,335526.56,172396.44,196843.48,64473.27,285014.26,178829.84,4116.48,388051.11,237845.18,36407.51,201437.68,31178.3,825360.1,46334.93,779025.17,323908.78,4573044.65,Total expenditure,4
5,अंतिम उपभोग व्यय,175229.77,350890.71,269468.7,96256.8,11017.95,47617.13,12790.46,446.27,16336.68,2493.46,5554.85,273.57,34820.13,136756.55,20780.25,115976.3,10506,434797.54,20865.13,413932.41,63696.26,1572696.03,Final Consumption Expenditure,5
5.1,व्यक्तिगत उपभोग व्यय,0,0,0,0,0,0,0,,,0,0,0,0,115976.3,0,115976.3,10506,413932.41,0,413932.41,60295.10275227,600709.81275227,Individual Consumption Expenditure,5.1
5.2,सामूहिक उपभोग व्यय,175229.77,350890.71,269468.7,96256.8,11017.95,47617.13,12790.46,446.27,16336.68,2493.46,5554.85,273.57,34820.13,20780.25,20780.25,0,0,20865.13,20865.13,0,3401.15724773,971986.21724773,Collective consumption expenditure,5.2
* व्यय में स्थानीय प्राधिकरणों का व्यय एवं स्थायी पूंजी अवक्षय सम्मिलित नहीं है।,,,,,,,,,,,,,,*Expenditure excludes expenditure of local bodies and CFC.,,,,,,,,,,,
