Industries,Spending_2015,Growth_Rate,Spending_2022,Percent_of_Total
1. Accommodation services/hotels,47843,1.565224990669891,77122.61776691634,5.03432702868701
2. Food and beverage serving services/restaurants,165860,1.565224990669891,267365.2860987134,17.452782663671332
3. Railway passenger transport services,21382,1.1495369855508064,25313.829983897045,1.6524088805267223
4. Road passen ger transport services,204467,1.5495121048528573,326290.76564953924,21.299256538269525
5. Water passenger transport services,1551,1.6561817647058823,2645.491564824718,0.17268954393134942
6. Air passenger transport services,74127,1.6,122147.05247955972,7.973383497312857
7. Transport equipment rental services,985,1.5495121048528573,1571.8742103361237,0.10260710867864001
8. Travel agencies and other reservation services/ supporting and auxiliary transport activities,10389,1.5588247666861095,16678.52453985376,1.0887227290879677
9. Cultural and religious services,1039,1.5495121048528573,1658.0480249129264,0.10823226996660605
10. Sports and other recreational services,7255,1.5495121048528573,11577.611569531551,0.7557508360035871
11. Health and medical related services,92134,1.7,161307.82395717804,10.529678084068713
12. Readymade garments,75434,1.6787669850502047,130419.98378903209,8.513414980990191
13. Processed Food,15309,1.565224990669891,24678.012570150753,1.6109046774276163
14. Alcohol and tobacco products,8232,1.55,13140.855649916613,0.857794596371035
15. Travel related consumer goods,47019,1.55,75057.08112286555,4.89949515631313
16. Footwear,11392,1.6787669850502047,19695.952161156158,1.2856911136018276
"17. Soaps, cosmetics and glycerine",1691,1.55,2699.366727892249,0.17620634869575072
18. Gems and jewellery,23740,1.6787669850502047,41044.759858308214,2.679275547481337
"19. Books, journals, magazines, stationery, etc.",3250,1.55,5188.020026995747,0.33865797354298627
21. Social transfers in kind (50% of GFCE of tourism and cultural services),4177,1.5495121048528573,6665.704138653796,0.4351166425895221
22. FISIM (calculated from the share of FISIM in PFCE),42924,1.2602849321428842,55712.86788419287,3.6367644765732794
23. Producersâ€™ guest houses (0.5% of private corporate sector output),64716,1.55,103307.04740524823,6.7435659740947385
24. Imputed expenditures of households on food for tourists staying with them,25215,1.565224990669891,40646.422820324726,2.653273332114269
